[2024/10/08-15:06:06.125] AZcmd, AZreal, ELcmd, ELreal, 305.399258, 305.399243, 43.508325, 43.508250
[2024/10/08-15:06:06.442] AZcmd, AZreal, ELcmd, ELreal, 305.399454, 305.399517, 43.507438, 43.507368
[2024/10/08-15:06:06.763] AZcmd, AZreal, ELcmd, ELreal, 305.399647, 305.399669, 43.506565, 43.506486
[2024/10/08-15:06:07.085] AZcmd, AZreal, ELcmd, ELreal, 305.399842, 305.399882, 43.505685, 43.505605
[2024/10/08-15:06:07.403] AZcmd, AZreal, ELcmd, ELreal, 305.400038, 305.400095, 43.504798, 43.504723
[2024/10/08-15:06:07.724] AZcmd, AZreal, ELcmd, ELreal, 305.400231, 305.400247, 43.503923, 43.503841
[2024/10/08-15:06:08.044] AZcmd, AZreal, ELcmd, ELreal, 305.400426, 305.400459, 43.503042, 43.502959
[2024/10/08-15:06:08.366] AZcmd, AZreal, ELcmd, ELreal, 299.708252, 304.789980, 36.262860, 42.794088
[2024/10/08-15:06:08.687] AZcmd, AZreal, ELcmd, ELreal, 299.708650, 303.819682, 36.261916, 41.832882
[2024/10/08-15:06:09.004] AZcmd, AZreal, ELcmd, ELreal, 299.709047, 302.868936, 36.260976, 40.883230
[2024/10/08-15:06:09.323] AZcmd, AZreal, ELcmd, ELreal, 299.709439, 301.909797, 36.260047, 39.925885
[2024/10/08-15:06:09.648] AZcmd, AZreal, ELcmd, ELreal, 299.709834, 300.945733, 36.259112, 38.949598
[2024/10/08-15:06:09.965] AZcmd, AZreal, ELcmd, ELreal, 299.710235, 299.987203, 36.258162, 38.003868
[2024/10/08-15:06:10.288] AZcmd, AZreal, ELcmd, ELreal, 299.710627, 299.710422, 36.257233, 37.034361
[2024/10/08-15:06:10.604] AZcmd, AZreal, ELcmd, ELreal, 299.711026, 299.710483, 36.256288, 36.262703
[2024/10/08-15:06:10.923] AZcmd, AZreal, ELcmd, ELreal, 299.711417, 299.711304, 36.255361, 36.255193
[2024/10/08-15:06:11.245] AZcmd, AZreal, ELcmd, ELreal, 299.711811, 299.711791, 36.254427, 36.254372
[2024/10/08-15:06:11.563] AZcmd, AZreal, ELcmd, ELreal, 299.712210, 299.712216, 36.253484, 36.253429
[2024/10/08-15:06:11.884] AZcmd, AZreal, ELcmd, ELreal, 299.712603, 299.712611, 36.252551, 36.252486
[2024/10/08-15:06:12.206] AZcmd, AZreal, ELcmd, ELreal, 299.713000, 299.713037, 36.251612, 36.251544
[2024/10/08-15:06:12.526] AZcmd, AZreal, ELcmd, ELreal, 299.713397, 299.713432, 36.250670, 36.250632
[2024/10/08-15:06:12.846] AZcmd, AZreal, ELcmd, ELreal, 299.713794, 299.713828, 36.249730, 36.249659
[2024/10/08-15:06:13.165] AZcmd, AZreal, ELcmd, ELreal, 299.714189, 299.714253, 36.248795, 36.248716
[2024/10/08-15:06:13.488] AZcmd, AZreal, ELcmd, ELreal, 299.714584, 299.714618, 36.247860, 36.247804
[2024/10/08-15:06:13.808] AZcmd, AZreal, ELcmd, ELreal, 299.714983, 299.715044, 36.246915, 36.246861
[2024/10/08-15:06:14.129] AZcmd, AZreal, ELcmd, ELreal, 299.715378, 299.715470, 36.245978, 36.245889
[2024/10/08-15:06:14.451] AZcmd, AZreal, ELcmd, ELreal, 299.715776, 299.715834, 36.245036, 36.244976
[2024/10/08-15:06:15.072] AZcmd, AZreal, ELcmd, ELreal, 299.716175, 299.716260, 36.244092, 36.244064
[2024/10/08-15:06:15.375] AZcmd, AZreal, ELcmd, ELreal, 299.716942, 299.717051, 36.242274, 36.242209
[2024/10/08-15:06:15.672] AZcmd, AZreal, ELcmd, ELreal, 299.697401, 299.697530, 36.288563, 36.288578
[2024/10/08-15:06:15.973] AZcmd, AZreal, ELcmd, ELreal, 299.677876, 299.677007, 36.334877, 36.334885
[2024/10/08-15:06:16.274] AZcmd, AZreal, ELcmd, ELreal, 299.658376, 299.656726, 36.381188, 36.381193
[2024/10/08-15:06:16.573] AZcmd, AZreal, ELcmd, ELreal, 299.638898, 299.636659, 36.427509, 36.427530
[2024/10/08-15:06:16.873] AZcmd, AZreal, ELcmd, ELreal, 299.619441, 299.617412, 36.473841, 36.473868
[2024/10/08-15:06:17.173] AZcmd, AZreal, ELcmd, ELreal, 299.600006, 299.597588, 36.520180, 36.520206
[2024/10/08-15:06:17.473] AZcmd, AZreal, ELcmd, ELreal, 299.580593, 299.578402, 36.566527, 36.566544
[2024/10/08-15:06:17.773] AZcmd, AZreal, ELcmd, ELreal, 299.561201, 299.558639, 36.612886, 36.612943
[2024/10/08-15:06:18.072] AZcmd, AZreal, ELcmd, ELreal, 299.541833, 299.539392, 36.659248, 36.659250
[2024/10/08-15:06:18.373] AZcmd, AZreal, ELcmd, ELreal, 299.522484, 299.519902, 36.705625, 36.705649
[2024/10/08-15:06:18.673] AZcmd, AZreal, ELcmd, ELreal, 299.503160, 299.500595, 36.752003, 36.752017
[2024/10/08-15:06:18.973] AZcmd, AZreal, ELcmd, ELreal, 299.483856, 299.481318, 36.798392, 36.798416
[2024/10/08-15:06:19.273] AZcmd, AZreal, ELcmd, ELreal, 299.464575, 299.462071, 36.844789, 36.844814
[2024/10/08-15:06:19.573] AZcmd, AZreal, ELcmd, ELreal, 299.445316, 299.442794, 36.891195, 36.891213
[2024/10/08-15:06:19.876] AZcmd, AZreal, ELcmd, ELreal, 299.426079, 299.423669, 36.937608, 36.937611
[2024/10/08-15:06:20.173] AZcmd, AZreal, ELcmd, ELreal, 299.406867, 299.404361, 36.984022, 36.984041
[2024/10/08-15:06:20.471] AZcmd, AZreal, ELcmd, ELreal, 299.387670, 299.385267, 37.030461, 37.030470
[2024/10/08-15:06:20.774] AZcmd, AZreal, ELcmd, ELreal, 299.368496, 299.366203, 37.076907, 37.076929
[2024/10/08-15:06:21.073] AZcmd, AZreal, ELcmd, ELreal, 299.349351, 299.347017, 37.123345, 37.123358
[2024/10/08-15:06:21.373] AZcmd, AZreal, ELcmd, ELreal, 299.330223, 299.327922, 37.169802, 37.169818
[2024/10/08-15:06:21.675] AZcmd, AZreal, ELcmd, ELreal, 299.311118, 299.308919, 37.216267, 37.216277
[2024/10/08-15:06:21.973] AZcmd, AZreal, ELcmd, ELreal, 299.292038, 299.289794, 37.262732, 37.262706
[2024/10/08-15:06:22.272] AZcmd, AZreal, ELcmd, ELreal, 299.272975, 299.270760, 37.309218, 37.309196
[2024/10/08-15:06:22.572] AZcmd, AZreal, ELcmd, ELreal, 299.253935, 299.251726, 37.355709, 37.355686
[2024/10/08-15:06:22.871] AZcmd, AZreal, ELcmd, ELreal, 299.234919, 299.232753, 37.402205, 37.402206
[2024/10/08-15:06:23.174] AZcmd, AZreal, ELcmd, ELreal, 299.215923, 299.213811, 37.448712, 37.448726
[2024/10/08-15:06:23.472] AZcmd, AZreal, ELcmd, ELreal, 299.196955, 299.194777, 37.495216, 37.495216
[2024/10/08-15:06:23.773] AZcmd, AZreal, ELcmd, ELreal, 299.178003, 299.175895, 37.541743, 37.541767
[2024/10/08-15:06:24.071] AZcmd, AZreal, ELcmd, ELreal, 299.159077, 299.156922, 37.588269, 37.588287
[2024/10/08-15:06:24.371] AZcmd, AZreal, ELcmd, ELreal, 299.140168, 299.138071, 37.634815, 37.634838
[2024/10/08-15:06:24.670] AZcmd, AZreal, ELcmd, ELreal, 299.121285, 299.119159, 37.681359, 37.681389
[2024/10/08-15:06:24.973] AZcmd, AZreal, ELcmd, ELreal, 299.102423, 299.100338, 37.727916, 37.727939
[2024/10/08-15:06:25.272] AZcmd, AZreal, ELcmd, ELreal, 299.083589, 299.081486, 37.774468, 37.774459
[2024/10/08-15:06:25.573] AZcmd, AZreal, ELcmd, ELreal, 299.064771, 299.062635, 37.821040, 37.821010
[2024/10/08-15:06:25.871] AZcmd, AZreal, ELcmd, ELreal, 299.045978, 299.043875, 37.867616, 37.867622
[2024/10/08-15:06:26.172] AZcmd, AZreal, ELcmd, ELreal, 299.027204, 299.025115, 37.914209, 37.914264
[2024/10/08-15:06:26.471] AZcmd, AZreal, ELcmd, ELreal, 299.008456, 299.006355, 37.960800, 37.960845
[2024/10/08-15:06:26.773] AZcmd, AZreal, ELcmd, ELreal, 298.989729, 298.987625, 38.007405, 38.007426
[2024/10/08-15:06:27.071] AZcmd, AZreal, ELcmd, ELreal, 298.971027, 298.968895, 38.054010, 38.054068
[2024/10/08-15:06:27.371] AZcmd, AZreal, ELcmd, ELreal, 298.952342, 298.950226, 38.100634, 38.100649
[2024/10/08-15:06:27.669] AZcmd, AZreal, ELcmd, ELreal, 298.933683, 298.931527, 38.147261, 38.147291
[2024/10/08-15:06:27.971] AZcmd, AZreal, ELcmd, ELreal, 298.915044, 298.912949, 38.193901, 38.193902
[2024/10/08-15:06:28.270] AZcmd, AZreal, ELcmd, ELreal, 298.896432, 298.894280, 38.240538, 38.240574
[2024/10/08-15:06:28.572] AZcmd, AZreal, ELcmd, ELreal, 298.877838, 298.875733, 38.287191, 38.287216
[2024/10/08-15:06:28.869] AZcmd, AZreal, ELcmd, ELreal, 298.859271, 298.857125, 38.333844, 38.333828
[2024/10/08-15:06:29.169] AZcmd, AZreal, ELcmd, ELreal, 298.840721, 298.838639, 38.380519, 38.380500
[2024/10/08-15:06:29.471] AZcmd, AZreal, ELcmd, ELreal, 298.822196, 298.820182, 38.427196, 38.427203
[2024/10/08-15:06:29.769] AZcmd, AZreal, ELcmd, ELreal, 298.803697, 298.801544, 38.473871, 38.473875
[2024/10/08-15:06:30.071] AZcmd, AZreal, ELcmd, ELreal, 298.785214, 298.783118, 38.520569, 38.520578
[2024/10/08-15:06:30.370] AZcmd, AZreal, ELcmd, ELreal, 298.766760, 298.764632, 38.567262, 38.567280
[2024/10/08-15:06:30.672] AZcmd, AZreal, ELcmd, ELreal, 298.748325, 298.746206, 38.613971, 38.614014
[2024/10/08-15:06:30.969] AZcmd, AZreal, ELcmd, ELreal, 298.729916, 298.727750, 38.660680, 38.660655
[2024/10/08-15:06:31.271] AZcmd, AZreal, ELcmd, ELreal, 298.711524, 298.709416, 38.707412, 38.707419
[2024/10/08-15:06:31.568] AZcmd, AZreal, ELcmd, ELreal, 298.693160, 298.690990, 38.754136, 38.754152
[2024/10/08-15:06:31.870] AZcmd, AZreal, ELcmd, ELreal, 298.674813, 298.672716, 38.800885, 38.800916
[2024/10/08-15:06:32.168] AZcmd, AZreal, ELcmd, ELreal, 298.656495, 298.654351, 38.847625, 38.847649
[2024/10/08-15:06:32.471] AZcmd, AZreal, ELcmd, ELreal, 298.638195, 298.636108, 38.894384, 38.894443
[2024/10/08-15:06:32.769] AZcmd, AZreal, ELcmd, ELreal, 298.619923, 298.617804, 38.941139, 38.941176
